12/05-00:01:29.146543 ,1,1917,6,SCAN UPnP service discover attempt,UDP,192.168.1.251,61589,239.255.255.250,1900,18:3E:EF:E3:19:83,01:00:5E:7F:FF:FA,0xDA,Priority: 3,,,,,1,0,34555,204,208896,,,,
12/05-00:01:30.147788 ,1,1917,6,SCAN UPnP service discover attempt,UDP,192.168.1.251,61589,239.255.255.250,1900,18:3E:EF:E3:19:83,01:00:5E:7F:FF:FA,0xDA,Priority: 3,,,,,1,0,45178,204,208896,,,,
12/05-00:01:31.148924 ,1,1917,6,SCAN UPnP service discover attempt,UDP,192.168.1.251,61589,239.255.255.250,1900,18:3E:EF:E3:19:83,01:00:5E:7F:FF:FA,0xDA,Priority: 3,,,,,1,0,57753,204,208896,,,,
12/05-00:01:32.150176 ,1,1917,6,SCAN UPnP service discover attempt,UDP,192.168.1.251,61589,239.255.255.250,1900,18:3E:EF:E3:19:83,01:00:5E:7F:FF:FA,0xDA,Priority: 3,,,,,1,0,4685,204,208896,,,,
12/05-00:03:25.062646 ,1,527,8,BAD-TRAFFIC same SRC/DST,,0.0.0.0,,224.0.0.22,,00:1C:42:18:C7:31,01:00:5E:00:00:16,0x36,Priority: 3,,,,,1,192,0,40,40960,,,,
12/05-00:03:25.104886 ,1,527,8,BAD-TRAFFIC same SRC/DST,UDP,0.0.0.0,68,255.255.255.255,67,00:1C:42:18:C7:31,FF:FF:FF:FF:FF:FF,0x166,Priority: 3,,,,,64,192,0,344,90116,,,,
12/05-00:03:29.144582 ,1,1917,6,SCAN UPnP service discover attempt,UDP,192.168.1.251,60556,239.255.255.250,1900,18:3E:EF:E3:19:83,01:00:5E:7F:FF:FA,0xDA,Priority: 3,,,,,1,0,32807,204,208896,,,,
12/05-00:03:30.146257 ,1,1917,6,SCAN UPnP service discover attempt,UDP,192.168.1.251,60556,239.255.255.250,1900,18:3E:EF:E3:19:83,01:00:5E:7F:FF:FA,0xDA,Priority: 3,,,,,1,0,28805,204,208896,,,,
12/05-00:03:31.148364 ,1,1917,6,SCAN UPnP service discover attempt,UDP,192.168.1.251,60556,239.255.255.250,1900,18:3E:EF:E3:19:83,01:00:5E:7F:FF:FA,0xDA,Priority: 3,,,,,1,0,26144,204,208896,,,,
12/05-00:03:32.150567 ,1,1917,6,SCAN UPnP service discover attempt,UDP,192.168.1.251,60556,239.255.255.250,1900,18:3E:EF:E3:19:83,01:00:5E:7F:FF:FA,0xDA,Priority: 1,,,,,1,0,31100,204,208896,,,,
12/05-00:03:33.008849 ,1,527,8,BAD-TRAFFIC same SRC/DST,UDP,0.0.0.0,68,255.255.255.255,67,18:3E:EF:E3:19:83,FF:FF:FF:FF:FF:FF,0x156,Priority: 1,,,,,255,0,22712,328,73732,,,,
12/05-00:03:33.150598 ,1,527,8,BAD-TRAFFIC same SRC/DST,UDP,0.0.0.0,68,255.255.255.255,67,00:1C:42:18:C7:31,FF:FF:FF:FF:FF:FF,0x166,Priority: 1,,,,,64,192,0,344,90116,,,,
12/05-00:03:36.932190 ,1,527,8,BAD-TRAFFIC same SRC/DST,UDP,0.0.0.0,68,255.255.255.255,67,00:1C:42:18:C7:31,FF:FF:FF:FF:FF:FF,0x166,Priority: 3,,,,,64,192,0,344,90116,,,,
12/05-00:03:37.011161 ,1,527,8,BAD-TRAFFIC same SRC/DST,UDP,0.0.0.0,68,255.255.255.255,67,00:1C:42:18:C7:31,FF:FF:FF:FF:FF:FF,0x16C,Priority: 3,,,,,64,192,0,350,96260,,,,
12/05-00:05:29.141855 ,1,1917,6,SCAN UPnP service discover attempt,UDP,192.168.1.251,51354,239.255.255.250,1900,18:3E:EF:E3:19:83,01:00:5E:7F:FF:FA,0xDA,Priority: 3,,,,,1,0,3330,204,208896,,,,
12/05-00:05:30.142298 ,1,1917,6,SCAN UPnP service discover attempt,UDP,192.168.1.251,51354,239.255.255.250,1900,18:3E:EF:E3:19:83,01:00:5E:7F:FF:FA,0xDA,Priority: 3,,,,,1,0,39085,204,208896,,,,
12/05-00:05:31.142529 ,1,1917,6,SCAN UPnP service discover attempt,UDP,192.168.1.251,51354,239.255.255.250,1900,18:3E:EF:E3:19:83,01:00:5E:7F:FF:FA,0xDA,Priority: 3,,,,,1,0,18376,204,208896,,,,
12/05-00:05:32.143446 ,1,1917,6,SCAN UPnP service discover attempt,UDP,192.168.1.251,51354,239.255.255.250,1900,18:3E:EF:E3:19:83,01:00:5E:7F:FF:FA,0xDA,Priority: 3,,,,,1,0,63343,204,208896,,,,
12/05-00:07:29.150608 ,1,1917,6,SCAN UPnP service discover attempt,UDP,192.168.1.251,65510,239.255.255.250,1900,18:3E:EF:E3:19:83,01:00:5E:7F:FF:FA,0xDA,Priority: 3,,,,,1,0,24486,204,208896,,,,
12/05-00:07:30.138459 ,1,1917,6,SCAN UPnP service discover attempt,UDP,192.168.1.251,65510,239.255.255.250,1900,18:3E:EF:E3:19:83,01:00:5E:7F:FF:FA,0xDA,Priority: 3,,,,,1,0,3517,204,208896,,,,
12/05-00:07:31.139533 ,1,1917,6,SCAN UPnP service discover attempt,UDP,192.168.1.251,65510,239.255.255.250,1900,18:3E:EF:E3:19:83,01:00:5E:7F:FF:FA,0xDA,Priority: 3,,,,,1,0,11802,204,208896,,,,
12/05-00:07:32.139717 ,1,1917,6,SCAN UPnP service discover attempt,UDP,192.168.1.251,65510,239.255.255.250,1900,18:3E:EF:E3:19:83,01:00:5E:7F:FF:FA,0xDA,Priority: 3,,,,,1,0,6339,204,208896,,,,
